Date,Open,High,Low,Close,Volume,Currency
2009-12-15,10435.92,10454.43,10362.44,10389.88,0,MAD
2009-12-16,10388.85,10408.28,10364.81,10407.12,0,MAD
2009-12-17,10381.79,10414.11,10355.4,10386.67,0,MAD
2009-12-21,10395.97,10398.34,10325.78,10395.96,0,MAD
2009-12-22,10384.2,10477.11,10359.4,10446.09,0,MAD
2009-12-23,10437.86,10466.46,10420.32,10423.94,0,MAD
2009-12-24,10428.5,10458.02,10397.9,10414.45,0,MAD
2009-12-25,10349.25,10447.67,10334.8,10426.73,0,MAD
2009-12-28,10399.99,10433.21,10356.25,10431.99,0,MAD
2009-12-29,10416.01,10508.18,10388.66,10471.16,0,MAD
2009-12-30,10465.6,10522.58,10435.06,10522.55,0,MAD
2009-12-31,10519.04,10519.04,10434.23,10443.81,0,MAD
2010-01-04,10446.12,10446.12,10271.68,10312.35,0,MAD
2010-01-05,10309.83,10322.77,10222.49,10291.75,0,MAD
2010-01-06,10261.23,10486.64,10253.36,10452.91,0,MAD
2010-01-07,10475.12,10720.49,10475.12,10720.49,0,MAD
2010-01-08,10719.81,10782.91,10699.48,10782.2,0,MAD
2010-01-12,10775.43,10843.84,10689.3,10843.81,0,MAD
2010-01-13,10833.74,10833.74,10738.32,10778.57,0,MAD
2010-01-14,10707.96,10834.62,10685.85,10834.56,0,MAD
2010-01-15,10755.25,10829.48,10738.19,10810.91,0,MAD
2010-01-18,10789.28,10889.15,10772.55,10889.15,0,MAD
2010-01-19,10888.19,10988.93,10884.65,10988.93,0,MAD
2010-01-20,10981.16,11008.0,10939.95,11008.0,0,MAD
2010-01-21,10991.71,10998.96,10957.03,10973.54,0,MAD
2010-01-22,10953.37,10953.37,10870.13,10920.14,0,MAD
2010-01-25,10885.83,10939.89,10838.64,10903.03,0,MAD
2010-01-26,10898.37,10905.67,10841.77,10905.67,0,MAD
2010-01-27,10884.54,10945.29,10860.79,10940.81,0,MAD
2010-01-28,10931.23,11007.58,10918.43,10987.5,0,MAD
2010-01-29,10975.35,10981.2,10907.89,10928.44,0,MAD
2010-02-01,10924.53,10931.41,10846.39,10846.39,0,MAD
2010-02-02,10846.91,10909.92,10818.01,10909.92,0,MAD
2010-02-03,10903.85,10931.74,10827.62,10931.74,0,MAD
2010-02-04,10907.56,10907.56,10846.13,10901.99,0,MAD
2010-02-05,10834.62,10926.96,10833.11,10926.96,0,MAD
2010-02-08,10901.21,10961.03,10879.16,10949.26,0,MAD
2010-02-09,10949.29,11008.64,10902.43,11008.64,0,MAD
2010-02-10,11008.47,11037.73,11006.54,11019.41,0,MAD
2010-02-11,11009.37,11036.08,10991.78,10997.84,0,MAD
2010-02-12,10988.23,11097.27,10943.74,11097.27,0,MAD
2010-02-15,11096.44,11113.5,11037.28,11037.28,0,MAD
2010-02-16,11058.54,11071.18,11010.41,11040.29,0,MAD
2010-02-17,11045.14,11055.35,10999.36,11005.78,0,MAD
2010-02-18,11005.82,11020.38,10976.42,10976.46,0,MAD
2010-02-19,10987.85,11088.32,10987.85,11053.55,0,MAD
2010-02-22,11053.56,11081.54,11043.87,11076.56,0,MAD
2010-02-23,11076.87,11076.87,11010.64,11066.78,0,MAD
2010-02-24,11057.8,11077.05,11020.35,11035.94,0,MAD
2010-02-25,11036.55,11079.78,11025.46,11079.78,0,MAD
2010-02-26,11078.61,11096.8,11026.31,11096.8,0,MAD
2010-03-01,11097.27,11097.27,11029.85,11036.35,0,MAD
2010-03-02,11035.54,11070.78,11000.12,11000.12,0,MAD
2010-03-03,11001.32,11010.97,10972.38,11010.97,0,MAD
2010-03-04,10994.05,11032.87,10980.26,11032.87,0,MAD
2010-03-05,11031.75,11043.87,10973.11,10985.17,0,MAD
2010-03-08,10987.59,11000.38,10934.17,10991.85,0,MAD
2010-03-09,10991.95,11049.05,10991.95,11032.82,0,MAD
2010-03-10,11011.86,11055.0,11011.86,11011.94,0,MAD
2010-03-11,10995.11,11020.58,10974.04,11020.58,0,MAD
2010-03-12,10980.26,11021.88,10954.36,11021.88,0,MAD
2010-03-15,11030.07,11072.04,10966.33,10966.64,0,MAD
2010-03-16,10932.89,10980.84,10924.19,10938.64,0,MAD
2010-03-17,10926.92,10990.45,10915.97,10948.43,0,MAD
2010-03-18,10945.98,11013.48,10912.4,11013.44,0,MAD
2010-03-19,10994.99,10996.33,10949.54,10984.99,0,MAD
2010-03-22,10965.92,11039.05,10965.92,11008.1,0,MAD
2010-03-23,11009.56,11009.56,10980.7,11008.3,0,MAD
2010-03-24,11020.41,11049.71,11006.31,11040.84,0,MAD
2010-03-25,11045.54,11045.54,10977.62,11032.75,0,MAD
2010-03-26,11015.45,11348.56,11002.28,11228.49,0,MAD
2010-03-29,11265.41,11446.72,11257.57,11444.54,0,MAD
2010-03-30,11424.93,11589.83,11424.93,11585.72,0,MAD
2010-03-31,11585.75,11585.75,11418.77,11418.77,0,MAD
2010-04-01,11413.63,11413.63,11301.99,11337.93,0,MAD
2010-04-02,11293.83,11353.78,11285.4,11353.56,0,MAD
2010-04-05,11356.85,11403.71,11343.51,11352.12,0,MAD
2010-04-06,11357.67,11416.64,11330.13,11331.57,0,MAD
2010-04-07,11339.15,11416.24,11339.15,11398.55,0,MAD
2010-04-08,11397.88,11404.96,11359.09,11404.96,0,MAD
2010-04-09,11402.73,11414.63,11346.09,11394.1,0,MAD
2010-04-12,11395.25,11451.99,11374.52,11441.62,0,MAD
2010-04-13,11441.62,11523.87,11441.62,11523.87,0,MAD
2010-04-14,11523.37,11576.1,11516.34,11558.73,0,MAD
2010-04-15,11567.66,11633.9,11540.05,11633.9,0,MAD
2010-04-16,11621.62,11966.51,11621.62,11966.51,0,MAD
2010-04-19,11969.13,11989.99,11926.87,11957.36,0,MAD
2010-04-20,11952.61,12137.95,11952.61,12137.95,0,MAD
2010-04-21,12138.49,12217.19,12028.07,12038.45,0,MAD
2010-04-22,12046.15,12120.12,12020.83,12097.68,0,MAD
2010-04-23,12063.68,12135.97,12063.68,12135.52,0,MAD
2010-04-26,12135.48,12155.7,12106.2,12155.7,0,MAD
2010-04-27,12153.62,12199.03,12133.19,12193.5,0,MAD
2010-04-28,12171.86,12219.94,12142.96,12213.48,0,MAD
2010-04-29,12214.18,12280.65,12213.28,12280.65,0,MAD
2010-04-30,12280.31,12286.99,12254.48,12286.99,0,MAD
2010-05-03,12279.74,12304.86,12256.65,12291.32,0,MAD
2010-05-04,12293.23,12309.92,12270.63,12309.92,0,MAD
2010-05-05,12312.58,12312.58,12241.31,12247.47,0,MAD
2010-05-06,12207.42,12211.87,12042.21,12115.2,0,MAD
2010-05-07,12099.56,12171.89,12037.79,12171.89,0,MAD
2010-05-10,12167.2,12207.81,12154.87,12188.11,0,MAD
2010-05-11,12162.6,12213.41,12127.68,12188.48,0,MAD
2010-05-12,12158.06,12208.97,12100.3,12189.55,0,MAD
2010-05-13,12199.75,12229.74,12163.6,12229.74,0,MAD
2010-05-14,12201.27,12341.79,12187.82,12294.67,0,MAD
2010-05-17,12272.12,12365.56,12268.22,12365.54,0,MAD
2010-05-18,12370.48,12423.34,12339.76,12423.34,0,MAD
2010-05-19,12429.6,12492.03,12421.47,12457.59,0,MAD
2010-05-20,12455.99,12467.16,12411.42,12436.9,0,MAD
2010-05-21,12412.35,12413.44,12361.73,12370.36,0,MAD
2010-05-24,12177.73,12177.92,12017.37,12059.91,0,MAD
2010-05-25,12051.57,12051.57,11881.88,11927.4,0,MAD
