,Séance,VOLUME MC,VOLUME MB,VOLUME INTRODUCTIONS,VOLUME_OFFRES PUBLIQUES,VOLUME TRANSFERTS,VOLUME APPORTS,VOLUME AUG CAPITAL,TOTAL
176,2002-04-17,25996689.6,1730116.0,0.0,0.0,0.0,0.0,0.0,27726805.6
177,2002-04-16,20210781.75,11802660.0,0.0,0.0,236800.0,0.0,0.0,32250241.75
178,2002-04-15,14116994.15,8412960.0,0.0,0.0,0.0,0.0,0.0,22529954.15
179,2002-04-12,17428796.85,2873070.0,0.0,0.0,0.0,0.0,0.0,20301866.85
180,2002-04-11,5914561.5,7126999.36,0.0,0.0,0.0,0.0,0.0,13041560.86
181,2002-04-10,11525189.8,0.0,0.0,0.0,0.0,0.0,0.0,11525189.8
182,2002-04-09,9687905.4,17463200.0,0.0,0.0,619585.0,0.0,0.0,27770690.4
183,2002-04-08,18509754.1,622720.0,0.0,0.0,0.0,0.0,0.0,19132474.1
184,2002-04-05,20062661.35,25522800.0,0.0,0.0,0.0,0.0,0.0,45585461.35
185,2002-04-04,24591207.7,7940000.0,0.0,0.0,0.0,0.0,0.0,32531207.7
186,2002-04-03,12284150.3,956000.0,0.0,0.0,85260.0,0.0,0.0,13325410.3
187,2002-04-02,42217123.9,7950000.0,0.0,0.0,0.0,0.0,0.0,50167123.9
188,2002-04-01,13185473.85,9145516.57,0.0,0.0,0.0,0.0,0.0,22330990.42
189,2002-03-29,14661829.66,6203428.0,0.0,0.0,0.0,0.0,0.0,20865257.66
190,2002-03-28,15572414.6,7140160.0,0.0,0.0,0.0,0.0,0.0,22712574.6
191,2002-03-27,13763077.22,0.0,0.0,0.0,0.0,0.0,0.0,13763077.22
192,2002-03-26,14353236.4,17335800.0,0.0,0.0,20244.4,0.0,0.0,31709280.8
193,2002-03-25,19608979.37,773850.0,0.0,0.0,136250.0,0.0,0.0,20519079.37
194,2002-03-22,22958893.05,4395500.0,0.0,0.0,0.0,0.0,0.0,27354393.05
195,2002-03-21,14280796.3,4279000.0,0.0,0.0,444210.0,0.0,0.0,19004006.3
196,2002-03-20,25314032.45,6996000.0,0.0,0.0,882778.0,0.0,0.0,33192810.45
197,2002-03-19,19296242.05,0.0,0.0,0.0,193333.0,0.0,0.0,19489575.05
198,2002-03-18,14461715.3,3072000.0,0.0,0.0,120130.0,0.0,0.0,17653845.3
199,2002-03-15,12289740.2,1045500.0,0.0,0.0,83450.0,0.0,0.0,13418690.2
200,2002-03-14,8961028.9,0.0,0.0,0.0,10000.0,0.0,0.0,8971028.9
201,2002-03-13,14577355.2,1128000.0,0.0,0.0,101463.0,0.0,0.0,15806818.2
202,2002-03-12,13094842.1,8235283.75,0.0,0.0,0.0,0.0,0.0,21330125.85
203,2002-03-11,14455859.46,0.0,0.0,0.0,0.0,0.0,0.0,14455859.46
204,2002-03-08,22349358.6,880600.0,0.0,0.0,0.0,0.0,0.0,23229958.6
205,2002-03-07,6870383.5,0.0,0.0,0.0,0.0,0.0,0.0,6870383.5
206,2002-03-06,7052724.4,4595138.0,0.0,0.0,10000.0,0.0,0.0,11657862.4
207,2002-03-05,13241465.0,1737000.0,0.0,0.0,0.0,0.0,0.0,14978465.0
208,2002-03-04,13067821.0,950000.0,0.0,0.0,0.0,0.0,0.0,14017821.0
209,2002-03-01,11789314.65,0.0,0.0,0.0,0.0,0.0,0.0,11789314.65
210,2002-02-28,5296400.6,2650038.6,0.0,0.0,0.0,0.0,0.0,7946439.2
211,2002-02-27,13368937.45,903000.0,0.0,0.0,0.0,0.0,0.0,14271937.45
212,2002-02-26,6087046.9,2255960.0,0.0,0.0,0.0,0.0,0.0,8343006.9
213,2002-02-22,4067649.8,300000.0,0.0,0.0,12997.4,0.0,0.0,4380647.2
214,2002-02-21,7805815.22,644140.0,0.0,0.0,144981.0,0.0,0.0,8594936.22
215,2002-02-20,7616936.0,0.0,0.0,0.0,0.0,0.0,0.0,7616936.0
216,2002-02-19,21810332.3,3655570.0,0.0,0.0,131586.0,0.0,0.0,25597488.3
217,2002-02-18,18934807.1,2826792.0,0.0,0.0,19575.0,0.0,0.0,21781174.1
218,2002-02-15,24565597.15,11818150.0,0.0,0.0,63900.0,0.0,0.0,36447647.15
219,2002-02-14,11037485.28,4473700.0,0.0,0.0,0.0,0.0,0.0,15511185.28
220,2002-02-13,11514471.7,948000.0,0.0,0.0,105500.0,0.0,0.0,12567971.7
221,2002-02-12,26991383.34,299900.0,0.0,0.0,96778.0,0.0,0.0,27388061.34
222,2002-02-11,96104937.59,0.0,0.0,0.0,32555.0,0.0,0.0,96137492.59
223,2002-02-08,24121429.65,1747200.0,0.0,0.0,0.0,0.0,0.0,25868629.65
224,2002-02-07,30467249.0,3885000.0,0.0,0.0,27500.0,0.0,0.0,34379749.0
225,2002-02-06,10823161.8,17054710.0,0.0,0.0,0.0,0.0,0.0,27877871.8
226,2002-02-05,6833813.95,0.0,0.0,0.0,148119.0,0.0,0.0,6981932.95
227,2002-02-04,6190839.0,0.0,0.0,0.0,0.0,0.0,0.0,6190839.0
228,2002-02-01,15175338.1,0.0,0.0,0.0,0.0,0.0,0.0,15175338.1
229,2002-01-31,10336196.52,0.0,0.0,0.0,0.0,0.0,0.0,10336196.52
230,2002-01-30,19172318.8,0.0,0.0,0.0,0.0,0.0,0.0,19172318.8
231,2002-01-29,25025903.5,0.0,0.0,0.0,58400.0,0.0,0.0,25084303.5
232,2002-01-28,16977353.52,4295000.0,0.0,0.0,0.0,0.0,0.0,21272353.52
233,2002-01-25,28981517.4,1160845.0,0.0,0.0,0.0,0.0,0.0,30142362.4
234,2002-01-24,20050215.45,275680200.0,0.0,0.0,0.0,0.0,0.0,295730415.5
235,2002-01-23,41573204.87,8152000.0,0.0,0.0,0.0,0.0,0.0,49725204.87
236,2002-01-22,26753418.3,5633500.0,0.0,0.0,0.0,0.0,0.0,32386918.3
237,2002-01-21,24603305.6,8823256.75,0.0,0.0,0.0,0.0,0.0,33426562.35
238,2002-01-18,12369570.22,2792000.0,0.0,0.0,0.0,0.0,0.0,15161570.22
239,2002-01-17,6859321.51,1068000.0,0.0,0.0,0.0,0.0,0.0,7927321.51
240,2002-01-16,10455027.5,665000.0,0.0,0.0,0.0,0.0,0.0,11120027.5
241,2002-01-15,340660940.7,5970000.0,0.0,0.0,0.0,0.0,0.0,346630940.7
242,2002-01-14,27331156.17,364172.0,0.0,0.0,0.0,0.0,0.0,27695328.17
243,2002-01-10,23810911.75,0.0,0.0,0.0,0.0,0.0,0.0,23810911.75
244,2002-01-09,17444936.0,590000.0,0.0,0.0,0.0,0.0,0.0,18034936.0
245,2002-01-08,13682710.7,0.0,0.0,0.0,0.0,0.0,0.0,13682710.7
246,2002-01-07,148948611.2,0.0,0.0,0.0,9940.0,0.0,0.0,148958551.2
247,2002-01-04,6521744.92,0.0,0.0,0.0,0.0,0.0,0.0,6521744.92
248,2002-01-03,15937331.0,0.0,0.0,0.0,0.0,0.0,0.0,15937331.0
249,2002-01-02,20313165.9,0.0,0.0,0.0,0.0,0.0,0.0,20313165.9
0,2003-12-31,38660939.2,637324500.0,500000000.0,0.0,126400.0,0.0,0.0,1176111839.2
1,2003-12-30,11018878.2,52656675.0,0.0,0.0,0.0,0.0,0.0,63675553.2
2,2003-12-29,17875346.85,563722132.0,0.0,0.0,0.0,0.0,0.0,581597478.85
3,2003-12-26,22576039.66,15813838.0,0.0,0.0,0.0,0.0,0.0,38389877.66
4,2003-12-25,13266023.48,704222284.0,0.0,0.0,0.0,0.0,0.0,717488307.48
5,2003-12-24,13290240.3,18671952.2,0.0,0.0,0.0,0.0,0.0,31962192.5
6,2003-12-23,30710333.2,1990758390.0,201505995.0,0.0,186.0,0.0,0.0,2222974904.2
7,2003-12-22,18425418.1,384032.5,0.0,0.0,15006.2,0.0,0.0,18824456.8
8,2003-12-19,28479801.6,0.0,0.0,0.0,0.0,0.0,0.0,28479801.6
