Column1;Date;Open;High;Low;Close;Volume;Currency;IS
140;23/07/2002;2965.43;2989.39;2965.43;2985.72;0;MAD;484.4806683634229
141;24/07/2002;2968.17;3034.35;2968.17;3031.82;0;MAD;486.2367422771843
142;25/07/2002;3027.24;3048.18;3027.24;3048.18;0;MAD;487.37255537445765
143;26/07/2002;3052.92;3083.27;3052.48;3083.27;0;MAD;488.6857890750342
144;29/07/2002;3080.51;3114.38;3080.51;3114.38;0;MAD;483.75984932467435
145;31/07/2002;3136.42;3198.24;3136.42;3189.52;0;MAD;483.13368295171614
146;01/08/2002;3202.85;3277.85;3202.85;3277.85;0;MAD;479.33570654296767
147;02/08/2002;3293.84;3302.69;3254.47;3276.42;0;MAD;475.6972964355893
148;05/08/2002;3266.65;3266.65;3251.91;3254.78;0;MAD;472.25028811914615
149;06/08/2002;3233.38;3233.38;3209.22;3209.22;0;MAD;476.53805246705616
150;07/08/2002;3191.55;3201.53;3190.0;3196.83;0;MAD;479.97369091819513
151;08/08/2002;3185.04;3219.61;3185.04;3210.57;0;MAD;480.8697044203755
152;09/08/2002;3216.86;3225.61;3198.28;3198.28;0;MAD;476.90809712120586
153;12/08/2002;3189.41;3194.2;3189.41;3194.2;0;MAD;471.96960228834143
154;13/08/2002;3186.78;3216.54;3186.78;3216.54;0;MAD;464.7929266669048
155;15/08/2002;3205.46;3214.79;3203.61;3214.79;0;MAD;457.1722600610057
156;16/08/2002;3210.55;3218.94;3210.55;3218.94;0;MAD;449.53507000635847
157;19/08/2002;3219.2;3219.33;3217.22;3217.67;0;MAD;442.60909085224745
158;22/08/2002;3203.49;3218.58;3203.49;3217.79;0;MAD;437.89815878959837
159;23/08/2002;3210.65;3220.02;3209.34;3220.02;0;MAD;437.09355811187714
160;26/08/2002;3222.52;3228.55;3221.84;3228.55;0;MAD;432.2991590973141
161;27/08/2002;3224.01;3247.23;3224.01;3246.19;0;MAD;434.8841457698331
162;28/08/2002;3244.24;3260.8;3244.24;3260.3;0;MAD;434.05848969444787
163;29/08/2002;3251.38;3258.81;3248.02;3258.81;0;MAD;434.30344959805166
164;30/08/2002;3249.2;3263.08;3245.38;3263.08;0;MAD;438.5671280398905
165;02/09/2002;3263.79;3274.83;3263.79;3269.51;0;MAD;441.45839974485506
166;03/09/2002;3270.17;3277.52;3267.96;3274.91;0;MAD;446.65892645568084
167;04/09/2002;3270.86;3277.42;3265.39;3276.74;0;MAD;451.84818412259506
168;05/09/2002;3263.01;3264.29;3251.55;3251.55;0;MAD;450.3395374496045
169;06/09/2002;3260.63;3261.56;3253.69;3253.86;0;MAD;448.15461178869816
170;09/09/2002;3250.15;3251.09;3245.98;3245.98;0;MAD;451.88751786176294
171;10/09/2002;3241.05;3246.84;3241.05;3241.75;0;MAD;449.3618080788918
172;11/09/2002;3235.48;3240.78;3231.22;3240.14;0;MAD;452.18075503628455
173;12/09/2002;3234.81;3262.68;3234.81;3262.08;0;MAD;447.86132203977377
174;13/09/2002;3250.97;3275.16;3250.83;3275.16;0;MAD;447.00294799510715
175;16/09/2002;3274.09;3276.95;3267.66;3274.08;0;MAD;446.093742894205
176;17/09/2002;3257.57;3259.42;3254.19;3259.42;0;MAD;438.2846665997843
177;18/09/2002;3259.27;3263.31;3247.78;3248.07;0;MAD;438.67045859995807
178;19/09/2002;3242.92;3242.92;3209.18;3209.49;0;MAD;440.0722590201134
179;20/09/2002;3172.21;3180.28;3158.02;3180.28;0;MAD;437.2872892632944
180;23/09/2002;3169.26;3173.61;3143.3;3143.54;0;MAD;437.9173309702756
181;24/09/2002;3132.28;3132.28;3108.6;3108.6;0;MAD;440.11025843366707
182;25/09/2002;3106.14;3112.21;3098.18;3098.34;0;MAD;440.0801680453981
183;26/09/2002;3096.18;3122.47;3093.0;3122.39;0;MAD;440.15999572385545
184;27/09/2002;3119.27;3124.77;3111.45;3116.3;0;MAD;439.48446752719025
185;30/09/2002;3112.22;3138.01;3086.06;3138.01;0;MAD;438.7351697093348
186;01/10/2002;3120.8;3137.23;3120.8;3130.78;0;MAD;443.4874235357148
187;02/10/2002;3122.28;3131.91;3116.55;3131.91;0;MAD;442.09468998883153
188;03/10/2002;3126.75;3135.3;3125.57;3135.3;0;MAD;442.1195784767666
189;04/10/2002;3133.77;3137.17;3122.45;3134.12;0;MAD;445.59123475816324
190;07/10/2002;3118.02;3138.23;3118.02;3137.0;0;MAD;450.41053171817333
191;08/10/2002;3130.86;3140.91;3130.86;3137.53;0;MAD;454.5869569852632
192;09/10/2002;3130.39;3130.39;3115.91;3115.91;0;MAD;463.2459814569079
193;10/10/2002;3115.88;3123.59;3115.88;3118.77;0;MAD;470.6791995081446
194;11/10/2002;3123.42;3126.12;3119.9;3126.12;0;MAD;465.27946109892287
195;14/10/2002;3120.16;3120.89;3112.71;3120.89;0;MAD;456.4014975554664
196;15/10/2002;3111.1;3125.03;3111.1;3125.03;0;MAD;455.7032484101364
197;16/10/2002;3121.17;3121.48;3107.91;3107.91;0;MAD;457.94467287547343
198;17/10/2002;3100.95;3111.03;3100.95;3110.9;0;MAD;467.6908582824966
199;18/10/2002;3094.59;3112.85;3093.48;3112.73;0;MAD;467.2679098915319
200;21/10/2002;3094.76;3099.68;3078.74;3078.74;0;MAD;467.03990786607824
201;22/10/2002;3078.85;3092.6;3078.85;3090.78;0;MAD;458.9675558753733
202;23/10/2002;3089.38;3092.9;3087.78;3090.19;0;MAD;454.39932854573146
203;24/10/2002;3088.31;3088.31;3076.8;3077.95;0;MAD;453.71911104990306
204;25/10/2002;3073.53;3088.37;3068.9;3088.37;0;MAD;454.52469689583364
205;28/10/2002;3093.99;3093.99;3093.99;3093.99;0;MAD;460.9764128676016
206;29/10/2002;3088.96;3092.76;3088.96;3090.94;0;MAD;459.08557013550575
207;30/10/2002;3091.63;3091.63;3080.76;3081.36;0;MAD;460.7058588394229
208;31/10/2002;3082.13;3084.26;3076.29;3084.26;0;MAD;457.1995585792914
209;01/11/2002;3085.06;3085.06;3085.06;3085.06;0;MAD;462.30921041260956
210;04/11/2002;3078.69;3085.3;3076.8;3085.3;0;MAD;465.084035204003
211;05/11/2002;3080.32;3089.69;3079.52;3084.39;0;MAD;473.3710380645952
212;07/11/2002;3083.39;3083.39;3083.39;3083.39;0;MAD;476.6290947094239
213;08/11/2002;3092.05;3092.68;3086.7;3086.88;0;MAD;477.90243405932296
214;11/11/2002;3084.42;3103.24;3084.42;3103.24;0;MAD;485.13524997022876
215;12/11/2002;3095.56;3113.05;3095.12;3113.05;0;MAD;488.10977553056637
216;13/11/2002;3128.69;3145.01;3113.52;3145.01;0;MAD;491.60339168042583
217;14/11/2002;3149.85;3182.03;3149.85;3174.19;0;MAD;493.69748964731826
218;15/11/2002;3158.28;3162.34;3146.58;3146.58;0;MAD;497.31198592003426
219;19/11/2002;3122.59;3134.72;3107.01;3107.01;0;MAD;495.101728626809
220;20/11/2002;3101.14;3114.67;3098.86;3113.88;0;MAD;491.8976001535375
221;21/11/2002;3108.07;3127.4;3108.07;3127.4;0;MAD;483.31882958078626
222;22/11/2002;3124.91;3173.17;3124.91;3167.39;0;MAD;483.1069718211954
223;25/11/2002;3151.37;3156.65;3148.85;3152.14;0;MAD;477.08615626361967
224;26/11/2002;3151.08;3159.07;3147.93;3153.22;0;MAD;464.44183262146436
225;27/11/2002;3150.44;3150.44;3121.02;3121.02;0;MAD;427.2839031190639
226;28/11/2002;3117.38;3127.71;3115.44;3126.22;0;MAD;417.89542224110545
227;29/11/2002;3137.67;3149.11;3118.62;3149.08;0;MAD;410.0725576973451
228;02/12/2002;3136.4;3136.4;3131.95;3132.73;0;MAD;403.4359563618092
229;03/12/2002;3115.09;3139.01;3115.09;3138.98;0;MAD;398.6621382513916
230;04/12/2002;3132.87;3135.92;3129.89;3135.92;0;MAD;393.8999007776909
231;05/12/2002;3137.16;3149.25;3137.16;3149.15;0;MAD;397.03258182126245
232;09/12/2002;3143.65;3153.46;3142.22;3153.25;0;MAD;391.8195754453945
233;10/12/2002;3154.56;3162.46;3148.83;3162.46;0;MAD;402.537241281117
234;11/12/2002;3159.55;3172.85;3159.55;3171.42;0;MAD;407.14878179821324
235;12/12/2002;3169.39;3187.63;3169.39;3186.19;0;MAD;437.2654789165736
236;13/12/2002;3187.55;3199.79;3187.55;3199.79;0;MAD;439.27807474580806
237;16/12/2002;3206.3;3222.63;3206.07;3218.8;0;MAD;440.1016034916007
238;17/12/2002;3226.59;3241.67;3222.72;3240.93;0;MAD;442.35865377802025
239;18/12/2002;3239.6;3253.36;3239.6;3253.36;0;MAD;444.8973080741096
240;19/12/2002;3250.35;3263.6;3250.35;3260.62;0;MAD;451.0873142677567
241;20/12/2002;3251.0;3273.42;3251.0;3273.03;0;MAD;454.83612188557595
242;23/12/2002;3255.18;3291.63;3255.18;3287.71;0;MAD;454.38366744383865
243;24/12/2002;3277.58;3279.11;3267.87;3274.23;0;MAD;449.3139027095842
244;25/12/2002;3263.32;3267.38;3255.63;3259.65;0;MAD;450.81915054908535
245;26/12/2002;3236.29;3248.05;3221.09;3225.36;0;MAD;450.04721803738107
246;27/12/2002;3217.95;3241.39;3217.01;3239.15;0;MAD;451.51773987422393
247;30/12/2002;3216.03;3226.55;3215.89;3224.7;0;MAD;451.2927332664265
248;31/12/2002;3194.54;3212.94;3179.81;3179.81;0;MAD;452.42637034076563
249;02/01/2003;2971.92;2983.31;2970.26;2970.26;0;MAD;454.8996779723558
250;03/01/2003;2968.34;2971.9;2960.97;2960.97;0;MAD;459.39847632927524
251;06/01/2003;2956.76;2964.67;2954.78;2959.23;0;MAD;458.8998371458777
252;07/01/2003;2957.86;2966.19;2950.95;2966.19;0;MAD;463.09910563440724
253;08/01/2003;2961.86;2966.18;2953.91;2966.11;0;MAD;463.5600137475935
254;09/01/2003;2945.17;2953.3;2945.17;2953.3;0;MAD;464.2534531130241
255;10/01/2003;2955.2;2970.59;2950.69;2970.59;0;MAD;467.405884635848
256;13/01/2003;2960.79;2972.26;2955.99;2972.26;0;MAD;470.3381665566783
257;14/01/2003;2972.98;3037.46;2972.69;3037.46;0;MAD;479.15697761956505
258;15/01/2003;3041.8;3051.84;3035.78;3035.82;0;MAD;481.67481403673463
259;16/01/2003;3027.49;3056.87;3021.8;3047.32;0;MAD;487.277180546194
260;17/01/2003;3035.06;3043.22;3027.9;3042.12;0;MAD;486.164204103325
261;20/01/2003;3039.4;3049.91;3038.3;3038.3;0;MAD;485.8496686194212
262;21/01/2003;3039.28;3040.45;3034.82;3038.42;0;MAD;486.8800944356299
263;22/01/2003;3039.56;3044.54;3034.65;3035.63;0;MAD;489.8661700735355
264;23/01/2003;3033.95;3042.96;3033.95;3042.96;0;MAD;487.6504697019648
265;24/01/2003;3045.51;3065.09;3042.77;3065.09;0;MAD;488.63742067830304
266;27/01/2003;3064.08;3064.08;3049.23;3052.19;0;MAD;485.3873770238544
267;28/01/2003;3057.36;3064.42;3057.36;3064.42;0;MAD;477.3194984727066
268;29/01/2003;3062.24;3068.42;3062.24;3068.29;0;MAD;474.3435600235013
269;30/01/2003;3064.6;3072.5;3064.6;3067.87;0;MAD;461.6734418490447
270;31/01/2003;3070.04;3074.33;3069.9;3070.01;0;MAD;454.414762272003
271;03/02/2003;3068.81;3070.32;3065.79;3066.21;0;MAD;445.4577833975784
272;04/02/2003;3065.69;3070.38;3064.42;3070.38;0;MAD;437.7859235462624
273;05/02/2003;3062.7;3078.09;3062.04;3077.67;0;MAD;430.956931016881
274;06/02/2003;3077.3;3101.28;3076.7;3100.54;0;MAD;429.0249874540473
275;07/02/2003;3094.43;3108.19;3094.43;3107.28;0;MAD;423.87471662362094
276;10/02/2003;3104.43;3116.07;3101.22;3116.07;0;MAD;421.1636674777098
277;11/02/2003;3111.07;3128.64;3111.07;3123.11;0;MAD;419.19848189548543
278;14/02/2003;3118.19;3128.83;3118.19;3125.39;0;MAD;416.0102168983857
279;17/02/2003;3122.53;3137.52;3122.53;3137.52;0;MAD;418.1102636234176
280;18/02/2003;3134.16;3148.1;3134.16;3148.1;0;MAD;421.6650069128249
281;19/02/2003;3151.13;3190.39;3151.13;3188.46;0;MAD;428.6334999308874
282;20/02/2003;3191.72;3199.41;3184.52;3194.95;0;MAD;429.8034652786692
283;21/02/2003;3194.93;3223.98;3194.93;3223.16;0;MAD;432.75711930840976
284;24/02/2003;3215.25;3221.66;3209.49;3221.66;0;MAD;440.4623031601542
285;25/02/2003;3220.65;3220.65;3210.4;3216.44;0;MAD;446.69388074458766
286;26/02/2003;3215.6;3220.95;3215.6;3220.79;0;MAD;452.8176017409887
287;27/02/2003;3213.78;3237.22;3213.33;3235.95;0;MAD;459.81659046920817
288;28/02/2003;3213.26;3219.51;3209.58;3219.51;0;MAD;465.293056656056
289;03/03/2003;3209.58;3230.79;3209.58;3228.8;0;MAD;467.9083899142918
290;04/03/2003;3229.93;3234.18;3216.36;3216.36;0;MAD;469.044676216587
291;06/03/2003;3214.23;3217.11;3202.06;3202.06;0;MAD;470.2180795579933
292;07/03/2003;3200.21;3200.21;3196.77;3196.95;0;MAD;473.1869795111444
293;10/03/2003;3198.15;3198.15;3160.9;3160.94;0;MAD;476.06804182936656
294;11/03/2003;3149.22;3149.76;3134.35;3139.14;0;MAD;474.0393092174339
295;12/03/2003;3115.34;3116.91;3102.76;3104.81;0;MAD;477.018273244656
